chi_gene	Ensembl Gene ID	Gene Start (bp)	Gene End (bp)	Associated Gene Name	Description	Chromosome Name
CARHR111440	AT2G20770	8945318	8947310	GCL2	protein GCR2-LIKE 2 [Source:EMBL;Acc:AEC07068.1]	2
CARHR111450	AT2G20780	8947242	8949413	AT2G20780	putative polyol transporter 4 [Source:EMBL;Acc:AEC07069.1]	2
CARHR111460	AT2G20790	8949928	8952744	AT2G20790	clathrin adaptor complexes medium subunit family protein [Source:EMBL;Acc:AEC07072.1]	2
CARHR111470	AT2G20800	8953252	8955761	NDB4	NAD(P)H dehydrogenase B4 [Source:EMBL;Acc:AEC07074.1]	2
CARHR111520	AT2G20820	8964349	8965430	AT2G20820	uncharacterized protein [Source:EMBL;Acc:AEC07079.1]	2
CARHR111530	AT2G20825	8965756	8966867	ULT2	protein ULTRAPETALA 2 [Source:EMBL;Acc:AEC07081.1]	2
CARHR111540	AT2G20830	8968209	8970727	AT2G20830	folic acid binding / transferase [Source:EMBL;Acc:AEC07083.1]	2
CARHR111560	AT2G20835	8970886	8971303	AT2G20835	uncharacterized protein [Source:EMBL;Acc:AEC07085.1]	2
CARHR111570	AT2G20840	8971712	8974485	AT2G20840	secretory carrier-associated membrane protein 1 [Source:EMBL;Acc:AEC07086.1]	2
CARHR111580	AT2G20850	8975348	8979379	SRF1	strubbelig-receptor family 1 protein [Source:EMBL;Acc:AEC07087.1]	2
CARHR111600	AT2G20860	8979579	8981226	LIP1	lipoic acid synthase 1 [Source:EMBL;Acc:AEC07088.1]	2
CARHR111610	AT2G20870	8981988	8982712	AT2G20870	putative cell wall protein [Source:EMBL;Acc:AEC07089.1]	2
CARHR111620	AT2G20875	8983074	8983612	EPF1	protein EPIDERMAL PATTERNING FACTOR 1 [Source:EMBL;Acc:AEC07090.1]	2
CARHR111630	AT2G20900	8989275	8993114	ATDGK5	diacylglycerol kinase 5 [Source:EMBL;Acc:AEC07095.1]	2
CARHR111640	AT2G20890	8987666	8989416	PSB29	protein THYLAKOID FORMATION 1 [Source:EMBL;Acc:AEC07092.1]	2
CARHR111650	AT2G20880	8985973	8987263	AT2G20880	ethylene-responsive transcription factor ERF053 [Source:EMBL;Acc:AEC07091.1]	2
CARHR111770	AT2G01021	6571	6672	AT2G01021	uncharacterized protein [Source:EMBL;Acc:AEC05389.1]	2
CARHR111790	AT5G47480	19257420	19263424	AT5G47480	RGPR-related protein [Source:EMBL;Acc:AED95524.1]	5
CARHR111820	AT2G20920	8998686	8999932	AT2G20920	uncharacterized protein [Source:EMBL;Acc:AEC07097.1]	2
CARHR111850	AT2G20960	9006648	9009763	pEARLI4	phospholipase-like protein (PEARLI 4) domain-containing protein [Source:EMBL;Acc:AEC07105.1]	2
CARHR111860	AT2G20980	9011389	9013931	MCM10	minichromosome maintenance protein 10 [Source:EMBL;Acc:AEC07108.1]	2
CARHR111870	AT2G20990	9014552	9018097	NTMC2T1.1	synaptotagmin A [Source:EMBL;Acc:AEC07109.1]	2
CARHR111880	AT2G21045	9027852	9029020	AT2G21045	rhodanese-like domain-containing protein [Source:EMBL;Acc:AEC07115.1]	2
CARHR111890	AT2G21050	9034090	9036636	LAX2	auxin transporter-like protein 2 [Source:EMBL;Acc:AEC07116.1]	2
CARHR111900	AT2G21060	9036793	9037650	ATGRP2B	glycine-rich protein 2B [Source:EMBL;Acc:AEC07117.1]	2
CARHR111910	AT2G21070	9040852	9043626	FIO1	ribosomal RNA large subunit methyltransferase F [Source:EMBL;Acc:AEC07119.1]	2
CARHR111920	AT2G21080	9043699	9045389	AT2G21080	uncharacterized protein [Source:EMBL;Acc:AEC07121.1]	2
CARHR111930	AT2G21090	9045516	9047579	AT2G21090	pentatricopeptide repeat-containing protein [Source:EMBL;Acc:AEC07122.1]	2
CARHR111940	AT2G21100	9048131	9049404	AT2G21100	disease resistance-responsive, dirigent domain-containing protein [Source:EMBL;Acc:AEC07123.1]	2
CARHR111950	AT2G21120	9051748	9054613	AT2G21120	uncharacterized protein [Source:EMBL;Acc:AEC07125.1]	2
CARHR111960	AT2G21130	9055398	9056232	AT2G21130	Peptidyl-prolyl cis-trans isomerase CYP19-2 [Source:EMBL;Acc:AEC07126.1]	2
CARHR111970	AT2G21140	9060625	9062091	ATPRP2	proline-rich protein 2 [Source:EMBL;Acc:AEC07127.1]	2
CARHR112000	AT2G21150	9065338	9068093	XCT	protein XAP5 CIRCADIAN TIMEKEEper [Source:EMBL;Acc:AEC07128.1]	2
CARHR112010	AT2G21160	9068318	9070431	AT2G21160	translocon-associated protein subunit alpha [Source:EMBL;Acc:AEC07129.1]	2
CARHR112020	AT2G21170	9070754	9073233	PDTPI	triosephosphate isomerase [Source:EMBL;Acc:AEC07131.1]	2
CARHR112030	AT2G21180	9074660	9075380	AT2G21180	uncharacterized protein [Source:EMBL;Acc:AEC07133.1]	2
CARHR112040	AT2G21185	9076437	9077048	AT2G21185	uncharacterized protein [Source:EMBL;Acc:AEC07134.1]	2
CARHR112050	AT2G21190	9080865	9082904	AT2G21190	putative ER lumen protein retaining receptor [Source:EMBL;Acc:AEC07135.1]	2
CARHR112060	AT2G21195	9083165	9083909	AT2G21195	uncharacterized protein [Source:EMBL;Acc:AEC07138.1]	2
CARHR112070	AT2G21200	9083906	9084375	AT2G21200	SAUR-like auxin-responsive protein [Source:EMBL;Acc:AEC07139.1]	2
CARHR112080	AT2G21210	9085210	9085909	AT2G21210	SAUR-like auxin-responsive protein [Source:EMBL;Acc:AEC07140.1]	2
CARHR112090	AT2G21220	9089326	9089813	AT2G21220	SAUR-like auxin-responsive protein [Source:EMBL;Acc:AEC07141.1]	2
CARHR112100	AT2G21237	9100536	9101215	AT2G21237	uncharacterized protein [Source:EMBL;Acc:AEC07146.1]	2
CARHR112110	AT2G21240	9101313	9103050	BPC4	basic pentacysteine 4 [Source:EMBL;Acc:AEC07148.1]	2
CARHR112130	AT2G21260	9105583	9107380	AT2G21260	aldose-6-phosphate reductase (NADPH2) [Source:EMBL;Acc:AEC07151.1]	2
CARHR112140	AT2G21270	9107546	9110261	UFD1	ubiquitin fusion degradation 1 [Source:EMBL;Acc:AEC07153.1]	2
CARHR112150	AT2G21280	9110313	9112707	ATSULA	Rossmann-fold NAD(P)-binding domain-containing protein [Source:EMBL;Acc:AEC07155.1]	2
CARHR112160	AT2G21290	9112856	9113330	AT2G21290	30S ribosomal protein S31 [Source:EMBL;Acc:AEC07156.1]	2
CARHR112170	AT2G21300	9114154	9119946	AT2G21300	ATP binding microtubule motor family protein [Source:EMBL;Acc:AEC07158.1]	2
CARHR112180	AT2G21320	9126263	9127843	AT2G21320	B-box zinc finger-like protein [Source:EMBL;Acc:AEC07159.1]	2
CARHR112210	AT2G21330	9128147	9130240	FBA1	fructose-bisphosphate aldolase, class I [Source:EMBL;Acc:AEC07161.1]	2
CARHR112220	AT2G21340	9132555	9136459	AT2G21340	MATE efflux family protein [Source:EMBL;Acc:AEC07163.1]	2
CARHR112230	AT2G21350	9136451	9137267	AT2G21350	RNA-binding CRS1 / YhbY (CRM) domain protein [Source:EMBL;Acc:AEC07165.1]	2
CARHR112250	AT2G21370	9137454	9140081	XK-1	xylulose kinase-1 [Source:EMBL;Acc:AEC07167.1]	2
CARHR112260	AT2G21380	9141631	9149309	AT2G21380	centromeric protein E [Source:EMBL;Acc:AEC07168.1]	2
CARHR112270	AT2G21385	9149639	9151913	AT2G21385	uncharacterized protein [Source:EMBL;Acc:AEC07170.1]	2
CARHR112280	AT2G21390	9152006	9156878	AT2G21390	coatomer subunit alpha-2 [Source:EMBL;Acc:AEC07173.1]	2
CARHR112290	AT2G25185	10731622	10732024	AT2G25185	putative defensin-like protein 298 [Source:EMBL;Acc:AEC07668.1]	2
CARHR112300	AT2G21400	9158390	9159701	SRS3	SHI-related sequence protein [Source:EMBL;Acc:AEC07174.1]	2
CARHR112340	AT2G21430	9171885	9173339	AT2G21430	putative cysteine proteinase A494 [Source:EMBL;Acc:AEC07177.1]	2
CARHR112350	AT2G21440	9173560	9179166	AT2G21440	RNA recognition motif-containing protein [Source:EMBL;Acc:AEC07178.1]	2
CARHR112360	AT2G21450	9179410	9182356	CHR34	chromatin remodeling 34 [Source:EMBL;Acc:AEC07179.1]	2
CARHR112390	AT2G21470	9198569	9202487	ATSAE2	SUMO-activating enzyme subunit 2 [Source:EMBL;Acc:AEC07181.1]	2
CARHR112400	AT2G21480	9202753	9205368	AT2G21480	Malectin/receptor-like protein kinase [Source:EMBL;Acc:AEC07184.1]	2
CARHR112410	AT2G21490	9206016	9207125	LEA	dehydrin LEA [Source:EMBL;Acc:AEC07185.1]	2
CARHR112420	AT2G21500	9207549	9210231	AT2G21500	RING/U-box domain-containing protein [Source:EMBL;Acc:AEC07187.1]	2
CARHR112430	AT2G21510	9210655	9213058	AT2G21510	DNAJ heat shock N-terminal domain-containing protein [Source:EMBL;Acc:AEC07188.1]	2
CARHR112450	AT2G21520	9215519	9219208	AT2G21520	sec.4-like phosphatidylinositol transfer protein [Source:EMBL;Acc:AEC07189.1]	2
CARHR112460	AT2G21530	9219324	9220590	AT2G21530	SMAD/FHA domain-containing protein [Source:EMBL;Acc:AEC07191.1]	2
CARHR112480	AT2G21540	9220549	9224496	SFH3	SEC14-like 3 protein [Source:EMBL;Acc:AEC07193.1]	2
CARHR112490	AT2G21550	9227209	9230189	AT2G21550	bifunctional dihydrofolate reductase/thymidylate synthase [Source:EMBL;Acc:AEC07195.1]	2
CARHR112500	AT2G21560	9230268	9231508	AT2G21560	uncharacterized protein [Source:EMBL;Acc:AEC07196.1]	2
CARHR112530	AT2G21580	9236523	9237811	AT2G21580	40S ribosomal protein S25-2 [Source:EMBL;Acc:AEC07198.1]	2
CARHR112540	AT2G21590	9238482	9242440	APL4	putative glucose-1-phosphate adenylyltransferase large subunit [Source:EMBL;Acc:AEC07200.1]	2
CARHR112550	AT2G21600	9242801	9244833	ATRER1B	protein RER1B [Source:EMBL;Acc:AEC07201.1]	2
CARHR112560	AT2G21610	9245161	9247025	PE11	pectinesterase 11 [Source:EMBL;Acc:AEC07202.1]	2
CARHR112610	AT2G21620	9248573	9250256	RD2	adenine nucleotide alpha hydrolases-like protein [Source:EMBL;Acc:AEC07203.1]	2
CARHR112620	AT2G21630	9250323	9253915	AT2G21630	sec23/sec24-like transport protein [Source:EMBL;Acc:AEC07205.1]	2
CARHR112630	AT2G21640	9254459	9255625	AT2G21640	uncharacterized protein [Source:EMBL;Acc:AEC07206.1]	2
CARHR112640	AT2G21650	9259583	9260656	MEE3	maternal effect embryo arrest 3 protein [Source:EMBL;Acc:AEC07207.1]	2
CARHR112650	AT2G21660	9265249	9266393	CCR2	glycine-rich RNA-binding protein 7 [Source:EMBL;Acc:AEC07209.1]	2
CARHR112690	AT2G21690	9270114	9270597	AT2G21690	RNA recognition motif-containing protein [Source:EMBL;Acc:AEC07212.1]	2
CARHR112700	AT2G21710	9270886	9273418	EMB2219	transcription termination factor family protein [Source:EMBL;Acc:AEC07213.1]	2
CARHR112770	AT2G21720	9273696	9276802	AT2G21720	uncharacterized protein [Source:EMBL;Acc:AEC07214.1]	2
CARHR112810	AT2G21790	9293270	9297842	R1	ribonucleoside-diphosphate reductase subunit M1 [Source:EMBL;Acc:AEC07222.1]	2
CARHR112820	AT2G21740	9281986	9282363	AT2G21740	uncharacterized protein [Source:EMBL;Acc:AEC07218.1]	2
CARHR112830	AT2G21780	9291036	9291669	AT2G21780	uncharacterized protein [Source:EMBL;Acc:AEC07221.1]	2
CARHR112840	AT2G21800	9298154	9301926	ATEME1A	essential meiotic endonuclease 1A [Source:EMBL;Acc:AEC07223.1]	2
CARHR112860	AT2G21860	9318258	9320002	AT2G21860	violaxanthin de-epoxidase-related protein [Source:EMBL;Acc:AEC07230.1]	2
CARHR112890	AT3G50100	18578353	18580594	SDN1	small RNA degrading nuclease 1 [Source:EMBL;Acc:AEE78626.1]	3
CARHR112910	AT2G21870	9320195	9322734	MGP1	putative ATP synthase subunit [Source:EMBL;Acc:AEC07231.1]	2
CARHR112920	AT2G21880	9324633	9326321	RAB7A	RAB GTPase-like protein 7A [Source:EMBL;Acc:AEC07233.1]	2
CARHR112930	AT2G21900	9334149	9336222	WRKY59	putative WRKY transcription factor 59 [Source:EMBL;Acc:AEC07236.1]	2
CARHR112940	AT2G21910	9341498	9343030	CYP96A5	cytochrome P450, family 96, subfamily A, polypeptide 5 [Source:EMBL;Acc:AEC07237.1]	2
CARHR113020	AT2G21940	9350543	9353231	ATSK1	Shikimate kinase [Source:EMBL;Acc:AEC07242.1]	2
CARHR113030	AT2G21950	9353174	9354645	SKIP6	F-box/kelch-repeat protein SKIP6 [Source:EMBL;Acc:AEC07245.1]	2
CARHR113040	AT2G21960	9354842	9357091	AT2G21960	uncharacterized protein [Source:EMBL;Acc:AEC07246.1]	2
CARHR113050	AT2G21970	9356983	9357916	SEP2	stress enhanced protein 2 [Source:EMBL;Acc:AEC07247.1]	2
CARHR113070	AT2G21990	9359356	9360664	AT2G21990	uncharacterized protein [Source:EMBL;Acc:AEC07249.1]	2
CARHR113080	AT2G22000	9362312	9363203	PROPEP6	elicitor peptide 6 [Source:EMBL;Acc:AEC07250.1]	2
CARHR113090	AT2G22010	9363109	9369461	RKP	ubiquitination-promoting complex protein 1 [Source:EMBL;Acc:AEC07252.1]	2
CARHR113160	AT2G22030	9372530	9373681	AT2G22030	F-box/kelch-repeat protein [Source:EMBL;Acc:AEC07253.1]	2
CARHR113180	AT2G22050	9376684	9377862	AT2G22050	F-box/kelch-repeat protein [Source:EMBL;Acc:AEC07256.1]	2
CARHR113200	AT2G22070	9383602	9386064	AT2G22070	pentatricopeptide repeat-containing protein [Source:EMBL;Acc:AEC07259.1]	2
CARHR113210	AT2G22080	9386516	9388183	AT2G22080	uncharacterized protein [Source:EMBL;Acc:AEC07260.1]	2
CARHR113220	AT2G22090	9388260	9390507	UBA1A	UBP1 interacting protein 1a [Source:EMBL;Acc:AEC07261.1]	2
CARHR113230	AT2G22100	9392210	9393562	AT2G22100	RNA-binding (RRM/RBD/RNP motifs) family protein [Source:EMBL;Acc:AEC07264.1]	2
CARHR113240	AT2G22120	9393823	9397022	AT2G22120	RING/FYVE/PHD zinc finger-containing protein [Source:EMBL;Acc:AEC07265.1]	2
CARHR113250	AT2G22122	9403264	9403808	AT2G22122	uncharacterized protein [Source:EMBL;Acc:AEC07268.1]	2
CARHR113260	AT2G22125	9406263	9414518	CSI1	cellulose synthase-interactive protein 1 [Source:EMBL;Acc:AEC07269.1]	2
CARHR113310	AT2G22140	9414839	9418668	ATEME1B	essential meiotic endonuclease 1B [Source:EMBL;Acc:AEC07270.1]	2
CARHR113320	AT2G22170	9426849	9427817	AT2G22170	PLAT-plant-stress domain-containing protein [Source:EMBL;Acc:AEC07274.1]	2
CARHR113340	AT2G22180	9428743	9429844	AT2G22180	hydroxyproline-rich glycoprotein-like protein [Source:EMBL;Acc:AEC07275.1]	2
CARHR113360	AT2G22190	9433765	9436544	TPPE	haloacid dehalogenase-like hydrolase domain-containing protein [Source:EMBL;Acc:AEC07276.1]	2
CARHR113370	AT2G40050	16723881	16725774	AT2G40050	cysteine/histidine-rich C1 domain-containing protein [Source:EMBL;Acc:AEC09769.1]	2
CARHR113390	AT2G22200	9443128	9444423	AT2G22200	ethylene-responsive transcription factor ERF056 [Source:EMBL;Acc:AEC07277.1]	2
CARHR113420	AT2G22230	9449984	9451622	AT2G22230	3R-hydroxymyristoyl ACP dehydrase [Source:EMBL;Acc:AEC07279.1]	2
CARHR113440	AT2G22240	9451605	9454094	ATIPS2	inositol-3-phosphate synthase isozyme 2 [Source:EMBL;Acc:AEC07281.1]	2
CARHR113480	AT2G22250	9457810	9460919	MEE17	aspartate aminotransferase [Source:EMBL;Acc:AEC07283.1]	2
CARHR113490	AT2G22260	9461125	9463192	AT2G22260	oxidoreductase, 2OG-Fe(II) oxygenase-like protein [Source:EMBL;Acc:AEC07286.1]	2
CARHR113500	AT2G22270	9463694	9465467	AT2G22270	uncharacterized protein [Source:EMBL;Acc:AEC07287.1]	2
CARHR113510	AT2G22290	9466444	9467688	ATRAB6	RAB GTPase-like protein H1D [Source:EMBL;Acc:AEC07288.1]	2
CARHR113530	AT2G22300	9471325	9476646	CAMTA3	calmodulin-binding transcription activator 3 [Source:EMBL;Acc:AEC07290.1]	2
CARHR113550	AT2G22320	9480105	9480440	AT2G22320	uncharacterized protein [Source:EMBL;Acc:AEC07293.1]	2
CARHR113560	AT2G22330	9488554	9491187	CYP79B3	tryptophan N-hydroxylase 2 [Source:EMBL;Acc:AEC07294.1]	2
CARHR113570	AT2G22360	9497595	9500615	AT2G22360	molecular chaperone DnaJ [Source:EMBL;Acc:AEC07297.1]	2
CARHR113580	AT2G22370	9500815	9502190	AT2G22370	uncharacterized protein [Source:EMBL;Acc:AEC07298.1]	2
CARHR113590	AT2G22400	9504659	9508875	AT2G22400	S-adenosylmethionine-dependent methyltransferase domain-containing protein [Source:EMBL;Acc:AEC07299.1]	2
CARHR113600	AT2G22420	9513219	9514535	AT2G22420	peroxidase [Source:EMBL;Acc:AEC07301.1]	2
CARHR113610	AT2G22425	9514936	9515535	AT2G22425	putative signal peptidase complex subunit 1 [Source:EMBL;Acc:AEC07303.1]	2
CARHR113620	AT2G22430	9526095	9527830	ATHB6	homeobox-leucine zipper protein ATHB-6 [Source:EMBL;Acc:AEC07305.1]	2
CARHR113630	AT2G22450	9530547	9532914	AT2G22450	3,4-dihydroxy 2-butanone 4-phosphate synthase [Source:EMBL;Acc:AEC07307.1]	2
CARHR113650	AT2G22460	9533094	9534119	AT2G22460	uncharacterized protein [Source:EMBL;Acc:AEC07308.1]	2
CARHR113660	AT2G22470	9538197	9538879	AGP2	arabinogalactan protein 2 [Source:EMBL;Acc:AEC07309.1]	2
CARHR113670	AT2G22475	9541401	9545010	GEM	GLABRA2 expression modulator [Source:EMBL;Acc:AEC07310.1]	2
CARHR113680	AT2G22480	9545547	9548566	PFK5	6-phosphofructokinase 5 [Source:EMBL;Acc:AEC07312.1]	2
CARHR113690	AT2G22490	9553803	9556145	CYCD2;1	cyclin-D2-1 [Source:EMBL;Acc:AEC07314.1]	2
CARHR113700	AT2G22500	9563224	9564751	UCP5	uncoupling protein 5 [Source:EMBL;Acc:AEC07315.1]	2
CARHR113710	AT2G22510	9569026	9569758	AT2G22510	hydroxyproline-rich glycoprotein family protein [Source:EMBL;Acc:AEC07316.1]	2
CARHR113720	AT2G22530	9572796	9577441	AT2G22530	ethanolaminephosphotransferase [Source:EMBL;Acc:AEC07319.1]	2
CARHR113740	AT2G22540	9579874	9583893	SVP	MADS-box protein SVP [Source:EMBL;Acc:AEC07321.1]	2
CARHR113750	AT2G22560	9585883	9588838	AT2G22560	Kinase interacting (KIP1-like) family protein [Source:EMBL;Acc:AEC07322.1]	2
CARHR113760	AT2G22570	9589435	9590879	ATNIC1	nicotinamidase 1 [Source:EMBL;Acc:AEC07324.1]	2
CARHR113790	AT2G22590	9592996	9594535	AT2G22590	UDP-glycosyltransferase-like protein [Source:EMBL;Acc:AEC07325.1]	2
CARHR113820	AT2G22600	9596617	9599050	AT2G22600	RNA-binding KH domain-containing protein [Source:EMBL;Acc:AEC07326.1]	2
CARHR113830	AT2G22610	9599550	9604776	AT2G22610	Di-glucose binding protein with Kinesin motor domain [Source:EMBL;Acc:AEC07328.1]	2
CARHR113840	AT2G22620	9604772	9610595	AT2G22620	rhamnogalacturonate lyase-like protein [Source:EMBL;Acc:AEC07329.1]	2
CARHR113860	AT2G22630	9618372	9621957	AGL17	agamous-like MADS-box protein AGL17 [Source:EMBL;Acc:AEC07331.1]	2
CARHR113920	AT2G22660	9627408	9631081	AT2G22660	uncharacterized protein [Source:EMBL;Acc:AEC07334.1]	2
CARHR113930	AT2G22670	9636380	9638745	IAA8	auxin-responsive protein IAA8 [Source:EMBL;Acc:AEC07337.1]	2
CARHR113940	AT2G22680	9645313	9647613	AT2G22680	C3HC4-type RING finger domain-containing protein [Source:EMBL;Acc:AEC07340.1]	2
CARHR113990	AT2G22690	9649690	9651439	AT2G22690	zinc ion binding protein [Source:EMBL;Acc:AEC07342.1]	2
CARHR114000	AT2G22720	9657344	9660776	AT2G22720	SPT2 chromatin protein [Source:EMBL;Acc:AEC07344.1]	2
CARHR114010	AT2G22730	9660964	9664133	AT2G22730	major facilitator protein [Source:EMBL;Acc:AEC07346.1]	2
CARHR114030	AT2G22750	9672144	9673928	AT2G22750	transcription factor bHLH18 [Source:EMBL;Acc:AEC07349.1]	2
CARHR114040	AT2G22760	9677880	9679364	AT2G22760	transcription factor bHLH19 [Source:EMBL;Acc:AEC07351.1]	2
CARHR114050	AT2G22770	9684725	9686595	NAI1	transcription factor NAI1 [Source:EMBL;Acc:AEC07352.1]	2
CARHR114060	AT2G22780	9689415	9692154	PMDH1	malate dehydrogenase [Source:EMBL;Acc:AEC07353.1]	2
CARHR114070	AT2G22790	9695932	9696909	AT2G22790	uncharacterized protein [Source:EMBL;Acc:AEC07354.1]	2
CARHR114080	AT2G22795	9697233	9699897	AT2G22795	uncharacterized protein [Source:EMBL;Acc:AEC07355.1]	2
CARHR114100	AT2G22800	9704706	9706150	HAT9	homeobox-leucine zipper protein HAT9 [Source:EMBL;Acc:AEC07356.1]	2
CARHR114110	AT2G44065	18228473	18231407	AT2G44065	ribosomal protein L2-like protein [Source:EMBL;Acc:AEC10369.1]	2
CARHR114120	AT2G22810	9717791	9719472	ACS4	1-aminocyclopropane-1-carboxylate synthase [Source:EMBL;Acc:AEC07360.1]	2
CARHR114130	AT2G22830	9723680	9726270	SQE2	squalene epoxidase 2 [Source:EMBL;Acc:AEC07362.1]	2
CARHR114150	AT2G22840	9728756	9731301	GRF1	growth-regulating factor 1 [Source:EMBL;Acc:AEC07363.1]	2
CARHR114160	AT2G22850	9731279	9733400	AtbZIP6	basic leucine-zipper 6 [Source:EMBL;Acc:AEC07365.1]	2
CARHR114180	AT2G22860	9737607	9738298	ATPSK2	phytosulfokine-beta [Source:EMBL;Acc:AEC07366.1]	2
CARHR114190	AT2G22870	9739457	9741104	EMB2001	GTP-binding protein [Source:EMBL;Acc:AEC07367.1]	2
CARHR114200	AT2G22880	9741119	9741463	AT2G22880	VQ motif-containing protein [Source:EMBL;Acc:AEC07368.1]	2
CARHR114210	AT2G22900	9744225	9746292	AT2G22900	putative glycosyltransferase 7 [Source:EMBL;Acc:AEC07370.1]	2
CARHR114220	AT2G22910	9749869	9752863	NAGS1	amino-acid N-acetyltransferase [Source:EMBL;Acc:AEC07372.1]	2
CARHR114300	AT2G23200	9879276	9881908	AT2G23200	putative receptor-like protein kinase [Source:EMBL;Acc:AEC07428.1]	2
CARHR114320	AT2G23220	9884550	9886752	CYP81D6	cytochrome P450, family 81, subfamily D, polypeptide 6 [Source:EMBL;Acc:AEC07430.1]	2
CARHR114340	AT2G23180	9874907	9876594	CYP96A1	cytochrome P450, family 96, subfamily A, polypeptide 1 [Source:EMBL;Acc:AEC07426.1]	2
CARHR114350	AT2G23170	9863855	9866562	GH3.3	indole-3-acetic acid-amido synthetase GH3.3 [Source:EMBL;Acc:AEC07424.1]	2
CARHR114360	AT2G23150	9856192	9858574	ATNRAMP3	metal transporter Nramp3 [Source:EMBL;Acc:AEC07422.1]	2
CARHR114370	AT2G23140	9845486	9849264	AT2G23140	RING/U-box domain and ARM repeat-containing protein [Source:EMBL;Acc:AEC07418.1]	2
CARHR114380	AT2G23130	9844299	9845385	AGP17	Lysine-rich arabinogalactan protein 17 [Source:EMBL;Acc:AEC07415.1]	2
CARHR114400	AT2G23110	9840456	9841366	AT2G23110	Late embryogenesis abundant protein, group 6 [Source:EMBL;Acc:AEC07412.1]	2
CARHR114440	AT2G23096	9834766	9836235	AT2G23096	2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase-like protein [Source:EMBL;Acc:AEC07409.1]	2
CARHR114450	AT2G23093	9832123	9834739	AT2G23093	major facilitator protein [Source:EMBL;Acc:AEC07408.1]	2
CARHR114470	AT2G23090	9829450	9830410	AT2G23090	uncharacterized protein [Source:EMBL;Acc:AEC07407.1]	2
CARHR114480	AT2G23080	9827113	9829537	AT2G23080	putative casein kinase II subunit alpha [Source:EMBL;Acc:AEC07405.1]	2
CARHR114490	AT2G23070	9823965	9826898	AT2G23070	casein kinase 2, alpha polypeptide [Source:EMBL;Acc:AEC07404.1]	2
CARHR114500	AT2G23060	9812771	9814724	AT2G23060	acyl-CoA N-acyltransferases-like protein [Source:EMBL;Acc:AEC07402.1]	2
CARHR114510	AT2G23050	9810657	9812660	NPY4	Phototropic-responsive NPH3-like protein [Source:EMBL;Acc:AEC07400.1]	2
CARHR114520	AT2G23030	9803492	9806700	SNRK2-9	serine/threonine-protein kinase SRK2J [Source:EMBL;Acc:AEC07398.1]	2
CARHR114530	AT2G26460	11254932	11258973	SMU2	cytokine [Source:EMBL;Acc:AEC07841.1]	2
CARHR114540	AT3G43810	15664371	15666460	CAM7	calmodulin 7 [Source:EMBL;Acc:AEE77831.1]	3
CARHR114550	AT3G43720	15615386	15617149	AT3G43720	bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin-like protein [Source:EMBL;Acc:AEE77821.1]	3
CARHR114590	AT2G23760	10107709	10113213	SAW2	BEL1-like homeodomain 4 [Source:EMBL;Acc:AEC07488.1]	2
CARHR114600	AT2G23755	10102787	10104029	AT2G23755	uncharacterized protein [Source:EMBL;Acc:AEC07485.1]	2
CARHR114610	AT2G23740	10097559	10103398	AT2G23740	zinc binding motif and SET domain-containing protein [Source:EMBL;Acc:AEC07483.1]	2
CARHR114630	AT2G23700	10076369	10080232	AT2G23700	uncharacterized protein [Source:EMBL;Acc:AEC07482.1]	2
CARHR114640	AT2G23690	10072233	10073126	AT2G23690	uncharacterized protein [Source:EMBL;Acc:AEC07481.1]	2
CARHR114690	AT2G23680	10066163	10067455	AT2G23680	cold acclimation protein WCOR413-like protein [Source:EMBL;Acc:AEC07480.1]	2
